playlist_id	playlist_name	description	num_tracks	num_followers
37i9dQZF1DXcBWIGoYBM5M	Today's Top Hits	Dua Lipa & DaBaby are on top of the Hottest 50!	50	27084233
37i9dQZF1DX0XUsuxWHRQd	Today's Top Hits	New music from Jack Harlow, Juice WRLD and Kid Cudi.	50	13537247
37i9dQZF1DX1lVhptIYRda	RapCaviar	Today's top country hits of the week, worldwide! Cover: Eric Church	53	6189727
37i9dQZF1DX10zKzsJ2jva	RapCaviar	Today's top Latin hits are right here, on ¡Viva Latino! Cover: Danny Ocean	50	10763311
37i9dQZF1DX4JAvHpjipBk	Hot Country	New albums from Taylor Swift, Jack Harlow, Kid Cudi, and more!	100	3694201
37i9dQZF1DX4sWSpwq3LiO	Hot Country	Relax and indulge with beautiful piano pieces	302	6082527
37i9dQZF1DX4SBhb3fqCJd	¡Viva Latino!	The pulse of R&B music today.  Cover: Ari Lennox	33	5451493
37i9dQZF1DWXRqgorJj26U	¡Viva Latino!	Rock legends and epic songs that continue to inspire generations.	145	8620894
37i9dQZF1DX4dyzvuaRJ0n	New Music Friday	The world's biggest dance hits. Music from SG Lewis & Rhye, Anabel Englund, David Guetta and more!	80	5556760
37i9dQZF1DXcF6B6QPhFDv	New Music Friday	The newest music from grandson along with the top Rock songs you need to know	50	4492713
37i9dQZF1DWXJfnUiYjUKT	Peaceful Piano	The very best in new music from around the world. Cover: Taylor Swift	99	243467
37i9dQZF1DXcRXFNfZr7Tp	Peaceful Piano	Current favorites and exciting new music from across the world. Cover: Ava Max	72	1729112
37i9dQZF1DX4o1oenSJRJd	Are & Be	Essential tracks from the decade that catapulted electronic music, hip hop and indie rock into the mainstream.	100	8890954
37i9dQZF1DXbTxeAdrVG2l	Are & Be	Boy bands, girl groups, britpop, grunge & a golden era for hip hop.	100	6268744
37i9dQZF1DX4UtSsGT1Sbe	Rock Classics	Dramatic, diverse to the sometimes ridiculous - here is the 80's.	105	7923400
37i9dQZF1DWTJ7xPn4vNaz	Rock Classics	From disco to soft rock, and funk to punk, the ‘70s had a little something for everyone.	100	4031914
37i9dQZF1DXaKIA8E7WcJj	mint	The essential tracks from a decade of revolutions.	100	2259778
37i9dQZF1DWSV3Tk4GO2fq	mint	The 50's were a time of changes and the birth of Rock ’n’ Roll.	100	1266608
37i9dQZF1DWTwnEm1IYyoj	Rock This	Listen to easy songs from your favorite artists! Cover: Ed Sheeran	232	4653234
37i9dQZF1DX2A29LI7xHn1	Rock This	Crossing over like Allen I. Cover: <a href="spotify:artist:2LIk90788K0zvyj2JJVwkJ">Jack Harlow</a>	99	1822268
37i9dQZF1DX2RxBh64BHjQ	New Music Friday	The official voice of generation next. Cover: <a href="spotify:artist:7arQA31aZVS8yS6zUveWzb">CJ</a>	100	2441361
37i9dQZF1DWVA1Gq4XHa6U	New Music Friday	Taking it back. Cover: 50 Cent	50	2242804
37i9dQZF1DWY4xHQp97fN6	just hits	Mode: Turnt	99	5950010
37i9dQZF1DWX3387IZmjNa	just hits	Hip-Hop + R&B: Before. Anything. Else. Cover:  Lil Tjay	50	1804828
37i9dQZF1DWYkaDif7Ztbp	All Out 00s	Real African vibes, right here. Africa to the world! Cover: <a href="https://open.spotify.com/artist/6IhG3Yxm3UW98jhyBvrIut?si=U1z-4i2zRiirRUH95rYqOQ">Tekno</a>	75	685570
37i9dQZF1DX5hR0J49CmXC	All Out 00s	That real hip-hop. Cover: Lil Wayne	50	657009
37i9dQZF1DXan38dNVDdl4	All Out 90s	The best in new & current Dancehall. Cover: Busy Signal	86	905046
37i9dQZF1DWSvKsRPPnv5o	All Out 90s	Holdin' it down for the west side. Cover: Mozzy	50	646829
37i9dQZF1DWUVpAXiEPK8P	All Out 80s	For whatever activity you do that may need a punch of intensity!	50	3503103
37i9dQZF1DX0Tkc6ltcBfU	All Out 80s	Keeping it real for the Dirty. Cover: BRS Kash	75	863616
37i9dQZF1DX1YPTAhwehsC	All Out 70s	Up and down I-95. Cover: J.I. the Prince of N.Y.	51	349941
37i9dQZF1DWTggY0yqBxES	All Out 70s	New, leftfield and for the real hip-hop stans! Cover: Internet Money	50	645664
37i9dQZF1DX0HRj9P7NxeE	All Out 60s	Get your body right with this workout twerkout	50	1662234
37i9dQZF1DWT6SJaitNDax	All Out 60s	Afro sounds crossing borders. Top Afro Bashment, Pop, Fusion / X-Overs from all across the world.  Cover: <a href="spotify:artist:3wcj11K77LjEY1PkEazffa">Burna Boy</a>	100	422994
37i9dQZF1DX2r0FByV5U4C	All Out 50s	Saluting the poets that have filled us with pride.	21	264428
37i9dQZF1DXaKctwWdt4be	All Out 50s	Watch your screen as you listen to see lyrics, fun facts, and artist stories from Genius! (on mobile only)	50	47499
37i9dQZF1DWT2jS7NwYPVI	Soft Pop Hits	Here's your cheat sheet for everything new in the rock/alt world. Cover: Des Rocs	150	350650
37i9dQZF1DX82GYcclJ3Ug	Soft Pop Hits	No rules. No boundaries. Just cool music you need to hear. Cover: KennyHoopla	135	953646
37i9dQZF1DX49jUV2NfGku	Signed XOXO	New classics and essential cuts from all your favorite rock bands. Cover: The White Stripes	80	1169820
37i9dQZF1DX1Jg9KZ76Rr9	Signed XOXO	A look back at some of the most impactful songs of 2017.	100	59551
37i9dQZF1DX8FwnYE6PRvL	Most Necessary	The ultimate rock party playlist!	50	1797845
37i9dQZF1DX6mvEU1S6INL	Most Necessary	It's just us—and this awesome alt soundtrack.	101	519026
37i9dQZF1DX2SK4ytI2KAZ	Gold School	ALT the Good Vibes.	100	538139
37i9dQZF1DWZkHEX2YHpDV	Gold School	Call it pop-punk, emo, post-hardcore, whatever you want. We call it all awesome. Cover: Waterparks	100	358811
37i9dQZF1DWWJOmJ7nRx0C	Get Turnt	For those who like the newest songs loud. Very loud. Cover: System Of A Down	125	737079
37i9dQZF1DXdXKIWnpyigm	Get Turnt	The essential Ryan Adams, all in one place.	57	32504
37i9dQZF1DX2rBR3X9E86S	B.A.E.	One of the most iconic bands of recent time. Here is the best of The Black Keys.	50	192305
37i9dQZF1DWUlZhYdX0uqM	B.A.E.	Experience Tom Petty's final project, "Wildflowers & All The Rest," the way he originally envisioned it.	76	267543
37i9dQZF1DX82CY3GzF2m6	African Heat	The best of Nirvana, all in one place.	45	854328
37i9dQZF1DWWc7UGhP4Mpw	African Heat	The essential Ramones, all in one playlist.	34	146391
37i9dQZF1DWVPJN9etkrEa	This Is Green Day	Welcome to Paradise, Green Day fans!	50	731238
37i9dQZF1DXbj9Ksq4BAdj	This Is Green Day	The best of Metallica, all in one playlist.	60	1258197
37i9dQZF1DXcGV9sg8bMdx	This Is Metallica	Jane says these are the essentials.	66	22244
37i9dQZF1DWXupFIUw7TOC	This Is Metallica	The essential tracks, all in one playlist. Celebrating 25 years of the iconic "(What's The Story) Morning Glory?"	52	671871
37i9dQZF1DX5L9gRaHajqj	This Is Jane's Addiction	The essential KISS, all in one place.	50	250364
37i9dQZF1DWY6vTWIdZ54A	This Is Jane's Addiction	Get down and dirty with these bluesy rock songs. Cover: Royal Blood	135	354304
37i9dQZF1DX5OUjSS1OMgV	This Is Oasis	Rock this list to help you rock that last rep. Gainz.	100	518299
37i9dQZF1DX1rVvRgjX59F	This Is Oasis	These songs rocked the 90s. Cover: Nirvana	150	4045474
37i9dQZF1DX6ALfRKlHn1t	This Is KISS	Drink up these tunes and all the feels. Good vibes only.	125	830383
37i9dQZF1DXa9xHlDa5fc6	This Is KISS	Chill out with these awesome alt songs.	145	281732
37i9dQZF1DX2aneNMeYHQ8	Dirty Rock	The best in alt, folk, and indie rock. Cover: KALEO	121	418510
37i9dQZF1DWXs1L3AC0Xio	Dirty Rock	Chill out with these awesome rock ballads. Cover: <a href="spotify:artist:6Wr3hh341P84m3EI8qdn9O">Rise Against</a>	75	523160
37i9dQZF1DXa6YOhGMjjgx	One More Rep	This is the best of today's true alternative rock scene.	150	417561
37i9dQZF1DXcfZ6moR6J0G	One More Rep	All hail the eyebrow ring. Cover: Limp Bizkit	60	902625
37i9dQZF1DWXMg4uP5o3dm	90s Rock Anthems	Alternative meets electronic. Cover: NOISY	125	340809
37i9dQZF1DX2S9rTKTX6JP	90s Rock Anthems	Sometimes a cover can be even better than the original. You decide. Cover: Chris Cornell	100	508454
37i9dQZF1DX6ujZpAN0v9r	Soak Up the Sun	The essential beautiful noise: sweet and sour fuzz to warm your heart. Cover: Slowdive	129	273724
37i9dQZF1DX0wiundViT27	Soak Up the Sun	A dose of high energy, feel-good rock tunes. Press play and let the good vibes come your way.	97	583677
37i9dQZF1DX9Mqxt6NLTDY	License To Chill	Post-hardcore. Post-punk. Post-rock. Post-everything. Cover: Metz	100	111526
37i9dQZF1DX9wa6XirBPv8	License To Chill	All the standard emo anthems. Cover: Gerard Way	80	924656
37i9dQZF1DXaGNG7NmtmZv	Rockin' Vibes	Classic songs from the legends of the hardcore scene.	50	121349
37i9dQZF1DWZjmJmeiazwd	Rockin' Vibes	Rock out while you game, this is 10+ hours of the best in Rock.	150	379277
37i9dQZF1DX8S0uQvJ4gaa	Rock Ballads	New Music Discovery is what we're about.  Try it on for size. Cover: Russell Dickerson	66	719628
37i9dQZF1DX5mB2C8gBeUM	Rock Ballads	Country gone wild! You never know what you're gonna get.  Artist: Kalie Shorr	70	791912
37i9dQZF1DWYnwbYQ5HnZU	Totally Alt	Spotify Fan Favorites from the last few years.  Artist: Carly Pearce	61	1589928
37i9dQZF1DX3Ee0ngF5ZVQ	Totally Alt	From the Dance Halls and Honky Tonks across America to the World!  Hear tracks from Koe Wetzel's new album "Sellout". Cover: Koe Wetzel	52	334633
37i9dQZF1DWYiR2Uqcon0X	Nu Metal Generation	The Country Coffeehouse is open! Grab a cup and lean back to some low-key country.	74	584285
37i9dQZF1DWW7RgkOJG32Y	Nu Metal Generation	Top trending new and recent tracks from the last few weeks.  Cover: Chase Rice & Florida Georgia Line	61	177764
37i9dQZF1DX8WMG8VPSOJC	Alternative Beats	Nothing but beautiful country love songs.	50	1379195
37i9dQZF1DWXi7h4mmmkzD	Alternative Beats	Nighttime is the right time for a Kelsea Ballerini Takeover!	91	500663
37i9dQZF1DWTkxQvqMy4WW	Rock Covers	Country music to get you back to the basics.	80	2522518
37i9dQZF1DWU2LcZVHsTdv	Rock Covers	The country way of testifying.  Cover: Brad Paisley	75	204912
